model,accuracy,precision,recall,f1,roc_auc,cv_roc_auc_mean,cv_roc_auc_std,threshold
Gradient Boosting,0.8445,0.6030042918454935,0.6904176904176904,0.6437571592210768,0.8673835622988165,0.8621217169685078,0.006903269221375231,0.2647375272385254
XGBoost,0.857,0.6639566395663956,0.601965601965602,0.6314432989690721,0.8659838575092811,0.8614682852808206,0.006109178536864357,0.33375149965286255
Random Forest,0.8465,0.6136363636363636,0.6633906633906634,0.6375442739079102,0.8643759321725422,0.8514832614889785,0.008474481122651537,0.565242944258549
Decision Tree,0.8405,0.6466666666666666,0.47665847665847666,0.5487977369165488,0.8206897189948037,0.8275941470789353,0.004071186937999145,0.7028544015351399
Logistic Regression,0.807,0.6019417475728155,0.15233415233415235,0.24313725490196078,0.775923843720454,0.7660956033324137,0.012698910115729732,0.8298111861030634
